"A._CID","B._Lib_Con","C._MID","F1.1","F1.2","F1.3","G1.1","G1.2","G1.3","G1.4","H1.1","H1.2","I1.1","I1.2","F1.4"
3,0,"LIB055",0,1,0,0,0,0,0,0,0,4,0,1
3,0,"LIB056",0,0,0,0,0,0,0,0,0,2,0,1
3,0,"LIB057",0,1,0,0,0,1,0,0,0,0,2,1
3,0,"LIB058",1,1,0,0,0,0,0,0,0,3,1,1
3,0,"LIB060",0,1,0,0,0,1,0,0,0,0,2,1
1,0,"LIB061",0,0,0,0,0,0,0,0,0,0,0,1
1,0,"LIB062",0,1,0,0,0,0,0,0,0,1,1,1
1,0,"LIB063",0,1,0,0,0,0,0,0,0,3,0,1
1,0,"LIB064",1,1,0,0,0,0,1,0,0,1,3,1
1,0,"LIB066",0,1,0,0,0,0,0,0,0,2,3,1
1,0,"LIB067",0,1,0,0,0,0,0,0,0,0,0,1
1,0,"LIB068",0,0,0,0,0,0,0,0,0,2,2,1
1,0,"LIB069",0,0,1,0,0,0,0,0,0,3,3,1
1,0,"LIB070",0,0,0,0,0,0,0,0,0,2,2,1
1,0,"LIB071",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB072",0,1,1,0,0,0,0,0,0,3,3,1
1,0,"LIB074",0,0,1,0,1,0,0,0,0,2,3,1
1,0,"LIB075",0,1,0,0,0,0,1,0,0,1,0,1
1,0,"LIB076",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB077",0,0,0,0,0,0,0,0,0,2,2,1
1,0,"LIB078",0,1,0,0,0,1,0,0,0,3,3,1
1,0,"LIB079",0,1,0,0,0,0,1,0,0,2,0,1
1,0,"LIB080",0,1,0,0,0,0,0,0,0,4,0,1
1,0,"LIB081",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB082",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB083",1,1,0,0,0,0,1,0,0,2,3,1
1,0,"LIB084",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB085",0,1,0,0,0,0,0,0,0,2,0,1
1,0,"LIB086",0,0,1,0,0,1,0,0,0,3,2,1
1,0,"LIB087",0,1,0,0,0,0,0,0,0,0,0,1
1,0,"LIB088",1,1,0,0,0,0,1,0,0,4,0,1
2,0,"LIB012",1,1,0,0,0,0,0,0,0,3,0,1
2,0,"LIB013",0,0,1,0,0,0,0,0,0,3,4,1
2,0,"LIB014",0,1,0,0,0,0,0,0,0,0,0,1
2,0,"LIB015",0,1,0,0,0,0,0,0,0,0,3,1
2,0,"LIB016",0,1,0,0,0,0,0,0,0,1,3,1
2,0,"LIB018",0,0,0,0,0,0,0,0,0,3,4,1
2,0,"LIB019",0,1,0,0,0,0,1,0,0,1,0,1
2,0,"LIB020",0,1,0,0,0,0,0,1,0,1,3,1
2,0,"LIB021",1,1,0,0,0,0,1,0,0,3,0,1
2,0,"LIB022",0,1,0,1,0,1,0,0,0,1,0,1
2,0,"LIB023",0,1,0,0,0,0,1,0,0,0,0,1
2,0,"LIB024",0,1,0,0,0,1,0,0,0,0,0,1
2,0,"LIB026",0,1,0,0,0,0,0,0,0,0,0,1
2,0,"LIB027",1,1,0,0,0,0,0,0,0,2,2,1
2,0,"LIB028",0,0,1,0,0,0,0,0,0,2,0,1
2,0,"LIB029",0,1,0,0,0,0,0,0,0,3,3,1
2,0,"LIB030",1,1,0,0,0,1,0,0,0,0,4,1
3,0,"LIB061",0,0,0,0,0,0,0,0,0,0,0,1
3,0,"LIB062",0,1,0,0,0,0,0,0,0,3,1,1
3,0,"LIB063",0,1,0,0,0,0,0,0,0,3,3,1
3,0,"LIB064",1,1,0,0,0,0,1,0,0,3,0,1
3,0,"LIB066",0,1,0,0,0,1,0,0,0,3,3,1
3,0,"LIB067",0,1,0,1,0,0,0,0,0,0,0,1
3,0,"LIB068",0,0,0,0,0,0,0,0,0,2,3,1
3,0,"LIB069",0,0,1,0,0,0,0,0,0,3,1,1
